Income,Credit_Score,Employment_Years,Loan_Amount,Age,Loan_Approved
30965,478,17,232170,47,0
44538,481,12,243226,30,0
128066,324,20,194063,29,1
133252,479,20,642632,53,1
159182,800,17,941378,52,1
178338,460,4,610881,26,0
118806,476,12,610592,56,1
157982,584,3,473602,22,1
130989,362,16,760580,49,1
110982,455,2,163613,24,0
141626,768,16,774698,21,1
139176,348,10,537505,39,0
151278,383,20,464299,46,1
142409,660,19,592642,45,1
43419,447,20,334334,30,0
70015,641,3,580430,35,0
142096,775,1,471614,42,1
127059,362,19,233043,41,1
130687,659,15,878294,42,1
107939,626,17,758770,56,1
169213,440,7,200575,54,1
125878,514,2,175438,50,0
184899,734,8,622744,45,1
82623,617,19,674455,48,1
95450,331,5,918467,21,0
113426,584,9,844448,24,0
137845,604,20,314528,27,1
173371,728,9,243392,29,1
63585,776,12,458288,56,1
129225,585,16,152239,39,1
84044,443,8,685719,21,0
193629,723,16,916450,30,1
129556,318,8,614798,56,0
22693,317,8,754293,29,0
115259,670,0,858258,52,0
45939,474,1,380170,52,0
199997,493,15,171668,26,1
194013,801,0,816988,58,1
172906,412,9,468734,37,1
38047,413,17,598333,30,1
46105,521,7,231948,47,0
95766,563,20,535662,55,1
166779,354,10,664390,41,1
173048,757,1,364063,45,1
64262,461,7,673729,48,0
145117,679,7,208175,35,1
43776,386,16,299877,24,0
181152,354,14,186917,49,1
148376,775,16,267770,29,1
157848,477,12,692613,47,1
112787,690,18,593625,46,1
147948,648,4,727673,39,1
75016,307,11,994447,48,0
160546,612,0,390093,37,1
41959,742,4,836708,40,0
156602,627,7,363295,60,1
139101,353,12,985115,59,0
23748,538,7,717304,43,0
33545,528,10,889319,52,0
147659,350,0,655730,53,0
185838,563,12,99847,25,1
93530,717,18,108653,54,1
113557,395,2,791432,60,0
81087,387,16,827949,31,0
88840,377,4,368766,23,0
138451,587,19,339954,53,1
71005,419,20,127842,31,1
197648,790,7,958657,36,1
59353,751,13,322647,38,1
72733,799,3,134761,50,1
85318,464,10,480192,30,1
174736,481,19,962871,38,1
87172,768,14,848022,58,1
113264,306,18,566637,39,0
46736,629,6,716246,56,0
132859,450,18,980370,33,1
132181,384,18,378768,23,1
151926,446,10,738152,30,1
110084,680,4,452980,58,1
189695,847,4,831198,21,1
27392,584,7,170356,47,0
75680,381,9,267228,28,0
197789,813,5,92727,37,1
70859,822,14,390615,29,1
145657,685,15,582356,26,1
177381,770,16,691211,45,1
90467,418,7,450511,59,0
118506,695,7,484376,48,0
129751,831,8,61390,53,1
138906,560,1,681040,57,0
163760,555,14,987635,29,1
45342,525,17,406898,38,1
188229,352,2,388113,41,0
126308,799,16,720398,22,1
126081,805,3,799078,58,1
109045,663,3,389208,60,1
54698,579,13,71281,56,1
130078,457,8,104189,57,1
100623,358,8,312093,35,0
42671,427,17,360655,48,0
176256,414,9,696403,38,0
113384,508,20,582893,54,1
193179,825,3,412462,42,1
106202,820,11,444597,31,1
71663,536,7,856242,33,0
35708,580,1,299415,24,0
111906,658,12,729682,42,1
69811,500,20,91869,27,1
153883,577,15,607243,44,1
76250,534,1,635676,24,0
132547,793,10,815612,48,1
144249,303,9,60207,35,0
54754,741,14,268401,21,1
162483,328,16,209292,23,1
153983,408,7,527266,34,1
159752,374,17,546762,58,1
104896,445,8,255157,21,1
91295,427,7,72031,58,0
120689,341,13,513937,58,1
31111,655,17,917239,41,0
57504,340,19,645600,49,0
152874,333,19,634054,25,1
28155,316,20,193521,30,0
59384,452,11,401977,48,0
132561,677,18,237771,41,1
67254,641,13,287199,27,0
41918,326,16,811019,23,0
105981,586,20,810129,40,1
50306,467,2,685329,39,0
167718,567,6,690473,55,1
66843,754,16,227164,24,1
140975,700,11,506887,25,1
116601,775,8,584638,21,1
127512,429,14,801518,24,1
167443,662,17,937291,32,1
131472,591,20,563313,47,1
153121,670,12,835858,43,1
182688,328,20,118487,45,1
123727,448,7,198694,41,0
132893,595,13,173853,44,1
40932,310,7,365261,45,0
137796,811,13,285062,52,1
49855,412,6,501610,52,0
194088,486,11,283077,25,1
27400,526,10,937516,56,0
137858,609,10,73782,59,0
193714,397,12,559492,36,1
35151,354,17,864886,53,0
86690,705,1,904336,41,0
24499,368,20,704224,29,0
26295,611,14,458808,26,1
140885,588,19,203245,55,1
146071,847,17,172258,59,1
79040,447,14,685956,42,0
32183,766,18,504418,25,1
180371,543,11,532616,43,1
163946,790,12,436328,37,1
136336,806,10,556581,32,1
52711,664,4,473966,43,0
25539,781,0,328710,36,0
199426,500,2,712550,23,0
146063,453,18,612621,50,1
153629,749,6,434073,42,1
58360,800,11,786265,29,1
153272,372,14,663859,49,1
198047,595,4,170263,57,1
41357,316,14,969093,43,0
139121,516,7,599523,33,0
97505,360,9,50159,52,0
22869,341,15,717505,43,0
70108,324,7,212993,37,0
132296,338,0,417003,60,0
114179,430,11,197309,41,0
110272,797,4,157507,22,1
58467,528,2,975748,57,0
43328,407,0,64743,26,0
111412,471,3,802462,38,0
155059,734,7,96101,50,1
78871,777,2,292717,42,1
173471,401,9,695822,53,0
148391,823,1,396371,50,1
197286,574,10,280604,37,1
106416,343,9,237450,52,0
90271,316,20,907558,34,0
64064,629,13,892503,30,0
127450,796,6,776481,56,1
191890,311,1,386907,54,0
196597,617,8,537030,29,1
39830,515,15,809710,48,0
168501,638,12,455453,31,1
157965,380,8,721009,34,0
136381,784,19,218785,59,1
67333,673,3,254535,39,0
154508,499,9,750769,35,0
96213,836,11,229838,48,1
156967,765,16,620442,44,1
170810,388,13,319160,28,1
50746,567,13,522779,29,0
69377,788,1,491904,53,0
199476,837,20,926110,53,1
74045,346,19,948488,39,0
117888,587,10,628526,23,1
190862,315,15,370752,30,1
127455,700,18,663369,60,1
156672,385,5,297644,21,1
113179,549,18,999401,49,1
191836,690,4,887393,54,1
65714,634,3,249775,33,0
122946,818,14,863349,21,1
129616,436,3,990240,54,0
125983,797,19,864422,49,1
144123,776,9,112551,33,1
169661,522,2,784983,49,1
63484,671,4,727800,59,0
102989,701,5,216277,44,1
56212,742,20,130811,46,1
63525,789,7,829128,37,1
198274,572,6,891535,27,1
183707,825,20,514028,33,1
83208,458,9,418266,25,0
53828,451,5,284104,46,0
169783,487,13,593296,23,1
23420,397,3,252346,27,0
116752,430,12,606690,59,0
151373,470,19,234456,21,1
196308,482,16,834282,37,1
135294,663,6,449009,45,1
144019,338,3,546043,23,0
85726,826,13,186643,35,1
161564,796,2,540083,49,1
135668,815,4,983713,52,1
26102,648,15,163550,46,1
138015,696,19,534146,36,1
46641,460,3,141218,45,0
185656,315,1,183296,48,1
183817,792,17,549909,29,1
174165,725,18,568767,21,1
123746,407,18,229767,49,1
56631,749,16,957211,42,0
92991,610,13,441858,36,1
24014,469,18,815348,27,0
31093,845,12,290016,34,1
38070,713,11,82441,49,1
55777,550,5,288038,39,0
76958,440,20,744489,39,1
102074,573,3,805612,22,0
30729,715,18,898800,35,0
196089,338,15,666410,23,1
178823,328,12,94760,31,1
125864,776,3,335622,50,1
150858,617,16,964313,60,1
125510,544,0,908286,38,0
74748,571,17,930662,22,0
25801,739,19,397860,52,1
170262,538,16,717540,28,1
49592,676,14,148538,42,1
30647,565,10,589660,26,0
159788,658,12,866228,32,1
130627,639,0,561511,60,1
90316,688,16,271035,56,1
22368,302,5,935258,35,0
97575,728,3,432736,48,1
26655,441,19,405779,38,0
90031,675,15,685310,22,1
107922,623,14,628328,33,1
144046,445,14,911789,35,1
164475,592,5,776728,40,1
52097,731,14,652644,49,1
162038,698,13,328355,49,1
144862,643,10,417570,23,1
138834,439,6,317986,39,0
113848,486,8,506331,23,0
72921,360,15,903284,34,0
146141,679,4,437881,60,1
42677,739,19,358112,24,1
75609,618,9,853940,31,0
51024,601,17,203077,51,1
90313,643,2,104575,52,0
147813,310,12,523958,47,0
115285,361,10,724331,50,0
166410,525,16,468815,22,1
133632,452,12,530808,29,0
170580,609,5,641202,48,1
23051,542,16,823422,51,0
199819,792,12,641343,54,1
134692,665,18,661985,35,1
107235,629,20,680527,45,1
183165,406,18,285469,56,1
190806,525,9,173106,28,1
93523,517,2,841787,29,0
114476,805,13,890552,57,1
37019,558,18,517835,59,0
103613,816,4,350486,52,1
106672,353,4,52257,37,0
93847,346,19,339508,55,1
102750,820,16,730332,57,1
48251,398,20,161715,39,0
123481,319,9,76654,49,0
132566,789,4,786129,27,1
45945,718,3,393567,48,0
110852,361,5,341464,29,0
52217,444,3,595096,48,0
28308,515,6,626677,26,0
25949,302,6,538906,49,0
152222,459,17,168581,37,1
120235,419,2,177927,36,0
94740,388,0,84773,43,0
136352,628,3,756528,51,1
86617,656,5,470963,23,0
36896,566,8,388540,41,0
150798,622,13,551590,46,1
197247,840,11,419836,56,1
158877,494,19,264764,57,1
25237,631,3,631793,42,0
40056,469,20,922328,32,0
196615,820,11,592423,33,1
134548,762,9,665175,31,1
131488,339,6,172118,36,0
154415,836,2,359521,28,1
164572,560,13,204626,60,1
49375,694,9,898923,60,0
160734,525,15,295739,22,1
36964,423,15,894715,50,0
133429,337,9,528356,50,0
87215,627,12,329067,32,1
89042,550,5,359735,30,0
164356,475,11,636549,31,1
113468,753,8,366480,35,1
29435,336,12,386227,36,0
195150,615,3,635236,37,1
98832,413,10,290891,46,0
71293,339,19,214074,22,1
98781,600,17,523314,32,1
180196,523,10,559452,46,1
63919,617,20,338816,43,0
186319,648,3,840645,38,0
141172,414,17,191365,52,1
114758,622,0,499076,58,1
76573,339,6,112507,23,0
79101,339,5,107134,58,0
46646,588,14,183172,23,1
124185,561,17,291225,50,1
43049,515,10,243069,21,0
118116,446,19,864604,50,0
117379,635,14,856564,52,1
88385,467,15,823221,48,0
146131,391,6,854631,41,1
191230,652,20,610897,33,1
43289,662,9,224037,47,0
130226,644,11,713376,56,1
120793,469,13,482995,27,1
29823,655,4,546013,42,0
61975,490,20,344025,30,0
29540,721,17,787954,59,1
36364,306,4,860904,35,0
155683,432,2,550098,35,0
47663,330,4,757173,24,0
71991,834,16,805728,52,1
124182,725,18,307803,43,1
182049,693,18,741381,26,1
114704,662,20,366275,44,1
69115,736,11,729447,40,1
111007,850,8,62828,57,1
169143,381,0,933096,40,0
31938,655,17,566835,32,0
186267,557,20,706761,53,1
111680,823,3,851625,48,1
24000,594,9,273461,28,0
121042,523,6,488080,21,0
113610,824,0,463523,57,1
123691,345,16,414662,42,1
58304,412,1,331755,26,0
89449,532,10,749151,41,0
102986,316,8,979454,52,0
171836,659,6,388384,55,1
128940,522,16,289719,35,1
58494,747,16,782763,25,1
23373,664,1,839177,26,0
163233,625,5,891675,45,1
117532,766,13,316010,60,1
112658,713,5,737605,49,1
143633,754,1,487940,27,1
120386,532,0,965113,60,0
47350,523,9,645642,33,0
113008,711,20,101374,58,1
114297,634,4,164397,38,1
45351,521,1,298552,22,0
108668,336,15,436721,28,1
134585,577,1,473332,31,1
166377,495,9,917461,53,1
95353,783,1,930006,58,0
85953,541,15,987951,47,0
77458,623,15,342575,40,0
40358,491,18,461124,32,0
23267,316,6,79336,51,0
102745,823,11,877424,47,1
109588,700,14,105350,52,1
58513,321,7,643849,30,0
177164,773,5,560470,23,1
31338,419,9,888387,47,0
151484,509,2,111240,55,1
27543,605,18,725453,51,0
125891,569,16,449371,35,1
184568,584,6,620895,36,1
80692,526,20,761028,33,1
64425,680,19,988467,55,1
58756,759,3,231196,31,0
38888,306,13,365014,41,0
186807,328,19,499763,31,1
67295,332,14,638398,50,0
134352,378,7,234626,55,0
103042,758,20,726296,42,1
105999,837,14,429039,58,1
37955,781,19,578714,51,1
57841,729,13,794199,34,1
90640,584,8,864038,44,0
185983,815,7,491048,52,1
158429,398,16,602439,56,1
183551,696,1,323452,52,1
81476,788,2,290853,35,1
64811,338,7,828883,55,0
187280,570,11,226743,23,1
171222,456,0,140306,36,1
91180,374,9,799468,25,0
194358,429,19,943416,41,1
132856,383,2,576492,30,0
88450,321,5,142769,39,0
172424,758,6,137265,45,1
131888,838,19,867563,24,1
130448,681,17,102428,49,1
34397,739,10,608158,39,0
192627,320,18,677835,22,1
198031,602,4,810278,30,1
151800,383,18,99067,45,1
139180,752,10,812371,40,1
86234,686,11,162217,39,1
59954,806,9,989111,43,0
198352,556,7,468184,44,1
99459,826,8,673222,31,1
167851,461,3,192980,54,1
175538,462,4,993927,48,1
188011,823,20,552367,25,1
186342,570,7,386851,25,1
79163,791,8,259329,41,1
71934,507,14,307354,32,0
183379,838,14,573406,24,1
74098,359,15,111215,40,0
25486,729,13,761195,58,0
159407,608,7,361573,45,1
106900,819,17,918584,34,1
146020,326,9,682336,31,1
122795,498,19,219530,52,1
162202,686,5,227241,31,1
107508,648,11,188731,38,1
138324,835,1,503830,47,1
80566,677,6,814265,38,0
47192,826,15,389384,43,1
21062,452,2,476009,31,0
104076,505,12,163688,41,1
109780,754,2,358617,25,1
172617,572,17,933194,43,1
41689,535,10,794748,45,0
31174,820,7,540834,30,0
108461,800,5,943388,42,1
146174,416,0,430596,39,0
123033,685,0,761111,21,0
29348,643,7,962743,27,0
174786,694,4,784275,24,1
58102,363,15,319150,21,0
94460,371,10,299243,35,0
122634,573,4,648506,60,0
109930,619,3,246416,32,1
26801,637,5,606718,42,0
123150,665,13,73091,42,1
199208,794,18,831413,37,1
174697,465,8,598277,49,1
195333,843,11,125451,34,1
21542,310,10,68990,40,0
41677,600,13,402414,53,0
197804,401,15,916792,35,1
59081,724,0,300541,32,0
113105,691,12,872513,60,1
39065,513,20,716393,40,0
108092,387,20,420416,50,1
74693,700,12,852673,58,1
46962,345,1,174932,23,0
48295,762,3,318083,48,1
33807,609,5,163000,46,0
193420,385,4,752922,50,0
177504,391,2,609351,33,0
191334,541,0,543216,33,1
188152,301,3,782081,22,0
152396,524,19,732405,57,1
111267,415,1,559850,58,0
186981,402,4,487985,22,0
39870,493,2,883550,56,0
185650,465,8,134703,46,1
46790,389,19,545164,31,0
138874,421,5,464841,28,0
45289,442,17,810084,60,0
35485,405,5,702845,42,0
64482,727,18,339220,40,1
106188,604,11,303317,28,1
24748,616,10,245877,49,0
160507,308,1,881037,60,0
23709,372,14,396709,46,0
143961,658,11,531725,50,1
50355,522,11,875553,37,0
164188,715,8,867865,40,1
176542,669,20,617597,36,1
193416,563,1,903900,27,0
62918,617,2,487470,36,0
72224,383,11,903725,47,0
59298,617,15,408402,43,1
100219,410,20,874837,44,0
81629,550,0,617815,29,0
86040,682,20,913659,55,1
48016,306,2,967996,40,0
43960,758,19,798778,57,1
53591,383,1,189883,37,0
123333,507,8,667632,51,1
134821,689,18,205344,28,1
56395,613,14,515226,35,1
149695,321,17,797852,51,1
173772,709,10,621441,50,1
54620,814,15,158042,40,1
148148,426,16,104110,59,1
40559,313,4,195051,32,0
113396,311,11,815419,37,0
41732,386,10,813461,50,0
111362,823,14,78328,49,1
181426,836,2,687199,39,1
33843,600,0,325011,31,0
134065,542,19,109234,54,1
91726,421,15,862283,27,0
37640,446,1,867711,54,0
72528,655,1,822791,40,0
58413,608,2,277135,58,0
72638,587,7,647690,44,0
130133,606,14,851881,30,1
126357,848,6,388365,52,1
170159,651,5,925512,35,1
192502,611,8,579739,57,1
175576,358,19,137178,40,1
158186,334,0,900193,23,0
98859,744,7,286562,57,1
119657,392,2,351014,60,0
162047,506,3,408710,28,1
31023,652,14,435893,60,0
41447,631,5,173765,43,1
145899,458,14,437025,60,0
43959,323,20,998377,31,0
86203,703,2,178389,28,1
139156,815,20,763987,49,1
180775,663,20,247227,50,1
29337,681,13,542402,30,1
66427,831,19,861804,59,1
81529,451,13,840074,48,0
122023,719,3,310220,56,1
104665,549,11,471217,33,1
125787,416,16,346208,52,0
182993,811,6,800186,56,1
53307,634,8,850554,57,0
178427,717,2,992324,46,1
147016,594,12,118431,42,1
24835,670,14,105745,24,1
40159,485,17,100081,51,1
198677,545,18,976215,38,1
141790,567,0,266204,58,1
125616,536,5,986297,44,0
189160,829,1,451415,43,1
98752,320,13,650541,42,0
75284,819,5,348335,22,0
77043,399,13,846643,51,0
186619,777,3,161086,31,1
117007,597,20,506285,48,1
102844,825,7,464758,52,1
47532,633,2,474528,25,0
185421,301,18,488458,58,1
142402,674,13,938403,30,0
138012,592,19,668071,60,1
196517,617,16,699969,44,1
156785,801,7,662181,55,1
76178,680,13,549797,43,1
69407,313,5,208763,37,0
70990,803,15,652248,21,1
149473,530,18,920820,51,1
78141,383,13,72601,51,0
174865,429,18,461236,54,1
76570,444,2,189227,29,0
188964,327,9,774479,42,0
21015,365,18,742137,33,0
81813,462,8,331854,45,0
47712,528,19,420858,38,1
120497,560,12,729892,32,1
159487,748,6,703015,60,1
132816,723,13,986105,37,1
148778,759,8,637515,35,1
82292,600,18,710327,35,1
43833,602,14,658577,35,0
155230,586,19,201094,59,1
40309,694,13,486679,33,1
26970,309,5,780031,37,0
92474,569,20,842154,52,1
66540,660,3,732773,29,0
171456,556,7,917482,60,0
38017,432,16,552648,40,0
95880,575,8,808108,46,0
125570,812,0,811282,47,1
28702,612,19,529083,41,1
151456,583,13,395740,38,1
20404,420,10,903164,33,0
192015,406,20,455513,36,1
198998,503,2,118323,29,1
180261,464,8,335960,32,1
32763,604,13,614983,58,0
169456,796,8,462918,39,1
118142,455,3,468458,27,0
160932,666,3,105841,55,1
100642,550,7,440642,38,0
70612,633,1,248784,36,1
43574,810,8,157096,59,1
43524,592,13,142764,24,1
30916,319,8,496790,45,0
24809,581,15,660032,52,0
183273,300,16,864914,60,1
164528,418,15,583459,33,1
141288,334,11,675043,37,0
58765,497,2,542148,57,0
185888,784,10,682413,26,1
65106,358,13,967154,39,0
73932,460,17,418226,33,1
168172,505,20,53696,46,1
77091,311,20,176310,34,1
41949,789,4,987562,51,0
57744,575,15,725673,24,0
196615,541,19,855581,59,1
128319,515,4,966496,28,0
112193,550,2,889953,45,0
56187,425,11,95740,33,0
158311,516,0,156611,52,0
144454,605,20,448172,58,1
34489,484,8,518947,58,0
81877,338,8,525828,48,0
194197,522,3,823210,50,1
69922,483,2,378785,23,0
114074,794,16,638099,48,1
183121,726,1,495376,23,1
57131,477,0,756673,54,0
194016,727,7,637520,36,1
135765,593,12,851849,42,1
93963,450,14,730089,52,1
126884,683,7,162492,58,1
145917,607,11,80099,28,1
44285,635,11,803494,28,1
57626,674,13,473177,26,0
193880,307,14,980106,34,1
39198,640,14,692762,52,1
170830,428,8,321400,55,1
35254,651,18,529336,30,1
64238,657,19,817876,23,1
21252,816,7,608969,32,0
59764,794,20,141328,51,1
97709,385,18,792800,49,0
188513,474,5,355505,25,1
73682,492,19,507719,45,0
79494,610,18,84540,51,1
101317,418,3,207608,41,0
85215,517,6,134700,40,0
98587,726,3,390676,59,1
26949,713,11,761935,42,0
75393,413,12,439770,24,1
158013,444,2,446087,33,0
45934,837,11,96002,40,1
174458,602,1,99812,33,1
95745,644,1,465842,37,0
114456,300,8,765339,56,0
73413,446,0,307906,53,0
117239,586,7,158946,21,1
62318,352,5,116668,35,0
90390,603,5,149003,33,1
63088,368,17,785430,37,0
123196,660,16,270462,44,1
190883,519,11,879430,28,1
75479,460,5,769174,47,0
39963,388,7,678889,43,0
75123,458,18,319956,28,0
145911,788,9,111844,28,1
122468,623,0,775453,46,0
93477,680,12,445395,33,1
34388,401,16,749158,59,0
25569,793,2,124601,57,0
89836,318,7,975779,48,0
124573,753,13,360001,45,1
187658,781,2,437699,36,1
163087,696,15,544700,22,1
65002,578,12,332844,38,0
157326,664,19,832215,37,1
168216,630,16,482680,50,1
175286,643,12,223423,59,1
157162,754,5,143330,33,1
162709,364,16,275391,52,1
173487,375,13,263606,49,1
44071,442,16,457085,50,0
78243,772,7,241387,38,1
145827,716,10,291133,33,1
128215,604,19,536904,41,1
192312,796,0,464170,50,1
121570,590,6,736915,41,1
184506,401,20,375497,37,1
89724,566,20,525406,60,1
135359,302,16,488242,39,1
95697,384,9,412916,35,0
48732,627,10,228048,29,1
141465,749,8,403646,30,1
162386,753,8,426087,51,1
175026,520,4,421994,43,1
77108,453,16,619383,50,1
131195,311,8,195342,53,0
123081,432,16,736268,29,1
56668,603,20,851955,21,1
43061,592,18,112433,55,1
99252,599,6,594279,31,0
59749,342,8,322919,54,0
150560,642,6,521017,36,0
124680,625,12,397139,29,0
167979,797,10,197745,52,1
169849,663,13,697096,35,1
71745,726,18,732416,32,1
128464,320,10,187686,53,0
111865,706,12,57415,34,1
132428,635,13,820326,28,1
43624,416,12,487100,28,0
43321,423,0,984468,47,0
161560,698,7,828493,32,1
42574,350,11,349188,21,0
156312,623,18,762509,60,1
194293,440,11,218616,31,1
161550,769,7,99976,59,1
170334,633,7,475468,51,1
138831,672,20,315976,37,1
155504,793,12,271883,53,1
115257,838,11,261509,52,1
84291,455,15,546965,49,0
147600,590,0,870580,41,0
70428,443,12,813529,41,0
151374,405,6,568823,60,1
151127,719,4,269526,43,1
131317,301,7,948662,26,0
159789,389,13,397220,42,1
147449,644,12,874834,58,1
48699,649,14,763087,57,0
93686,758,16,88578,28,1
87661,562,14,664741,55,1
64247,650,19,465534,31,1
167820,407,17,912147,44,1
125113,338,17,258859,41,1
24621,458,1,161435,22,0
166106,611,3,790389,60,1
156198,540,0,201538,39,1
156194,744,3,932174,59,1
38030,597,17,95475,48,1
102838,335,4,896574,37,0
104717,383,18,790520,26,0
58638,751,14,207636,39,1
87067,684,7,203484,58,1
138033,471,19,143526,48,1
125977,675,16,101001,22,1
108869,661,0,894081,58,0
125186,440,11,242029,57,1
54674,417,18,478733,24,0
186926,576,14,718516,42,1
66271,519,8,990568,46,0
93688,325,6,599999,56,0
189590,820,1,604394,33,1
131076,309,8,901890,52,0
161339,677,9,984093,37,1
21062,451,1,532488,56,0
70448,348,18,442573,39,0
115462,453,10,267583,55,1
157301,592,12,413898,60,1
67915,349,9,188286,48,0
24632,830,13,277189,21,1
124592,359,17,176479,38,1
154668,466,18,470343,60,1
129779,501,8,186213,53,0
157240,445,6,603172,32,1
128099,738,2,314852,28,1
27561,541,19,854807,44,1
102152,782,5,589376,36,1
145036,407,20,369759,24,1
144049,525,1,422282,58,0
46734,731,5,750406,47,0
157443,718,2,322158,29,1
46069,754,15,769785,36,1
32910,459,7,446489,32,0
93479,822,1,752495,51,1
101264,376,16,414986,44,0
43275,808,8,998385,34,1
92274,740,11,540238,45,1
120776,553,2,128077,54,0
68447,619,10,189784,23,1
185601,562,0,255776,44,1
146394,673,12,365018,29,1
95703,466,14,119087,46,1
96090,758,4,848729,40,1
37260,579,20,814629,60,1
132581,601,16,863560,30,1
23812,830,5,642656,39,0
179096,517,20,793859,23,1
136148,401,10,391102,44,1
178357,587,17,345064,25,1
136421,466,3,301514,23,0
21605,335,2,978660,47,0
92303,652,12,192180,36,1
178211,372,8,999349,35,0
96125,652,20,970304,55,1
164990,369,5,834192,32,0
178518,724,11,485928,46,1
144040,816,1,970114,54,1
164118,727,2,651891,43,1
175890,838,2,83872,51,1
24324,459,11,322872,40,0
96323,448,14,407246,32,1
29111,529,8,538535,43,0
189182,366,7,434193,24,1
36389,680,10,857015,43,0
142177,357,15,135774,21,1
61427,558,3,974767,45,0
179818,641,0,438518,22,1
142883,429,6,248522,50,1
151189,471,1,270357,23,0
145808,508,4,462672,41,0
132221,653,6,927550,45,0
33234,770,3,115942,40,0
73441,415,4,587977,42,0
20846,563,0,607564,41,0
30954,741,0,559565,53,0
99239,847,14,572552,58,1
66514,752,19,676256,35,1
108236,776,18,463089,35,1
117579,586,9,849482,45,0
157541,602,17,640504,41,1
181177,610,2,789804,44,1
62101,507,10,396184,25,0
84323,745,14,595932,26,1
111922,354,10,112021,43,0
196659,311,16,742485,24,1
188048,699,16,510115,47,1
147534,814,5,92291,38,1
87584,841,4,478276,41,1
124537,536,7,444754,48,1
98477,578,1,353664,55,0
62533,647,15,75675,42,1
21828,403,19,723647,60,0
21917,816,11,312318,43,1
40618,547,5,142268,23,0
52254,663,0,347142,60,0
125292,620,3,758672,30,1
67362,585,16,979616,45,0
40128,448,12,679698,28,0
143781,383,17,387369,31,1
85545,705,4,881246,25,0
102180,755,2,397235,57,1
107958,460,10,362863,58,1
160937,759,12,179887,49,1
153291,849,3,346063,25,1
59809,799,13,385299,29,1
136748,808,10,383713,22,1
25287,780,9,877760,21,0
185459,413,18,251554,60,1
28512,660,17,861050,50,0
152414,640,5,608963,31,1
128872,748,14,545010,48,1
170288,479,20,855351,32,1
113070,706,9,840605,59,1
99767,495,4,421513,46,0
117829,765,4,862832,33,1
